country,iso2,admin1,iuName,iuId,iuCode,year,pgm,popTotal,popPreSac,popSac,popAdults,endLf,popReqPc,popNoTx,mda,epiEffMda,epiEffMdaN,cumMda,mdaScheme,mdaDrugs,ia,mdaLast,surveyLast,endemicityId
Nigeria,NG,Imo,Okigwe,36647,NGA0379136647,2021,1.0237,191321,30611,53570,99487,"Endemic (MDA not delivered)",191321,0,0,0,5,9,"MDA 1",ALB_IVM,pre-TAS,2022,2027,26
Nigeria,NG,Imo,Okigwe,36647,NGA0379136647,2022,1.0237,195853,31336,54839,101844,Endemic,195853,0,1,1,6,10,"MDA 4",ALBx2,TAS1,2022,2027,26
Nigeria,NG,Imo,Orsu,36650,NGA0379136650,2025,1.0237,190667,30507,53387,99146,"Endemic (under post-intervention surveillance)",0,190667,0,0,0,9,NR,NR,NR,2021,2026,3
Nigeria,NG,Imo,Orsu,36650,NGA0379136650,2026,1.0237,195184,31230,54652,101495,"Endemic (under post-intervention surveillance)",0,195184,0,0,0,9,NR,NR,TAS3,2021,2026,3
Nigeria,NG,Imo,"Oru East",36651,NGA0379136651,2028,1.0237,190598,30496,53368,99112,"Endemic (under post-intervention surveillance)",0,190598,0,0,0,8,NR,NR,NR,2022,2027,3
Nigeria,NG,Imo,"Oru East",36651,NGA0379136651,2029,1.0237,195113,31218,54632,101460,"Endemic (under post-intervention surveillance)",0,195113,0,0,0,8,NR,NR,NR,2022,2027,3
Nigeria,NG,Imo,"Oru West",36652,NGA0379136652,2026,1.0237,191099,30576,53509,99372,"Endemic (under post-intervention surveillance)",0,191099,0,0,0,8,NR,NR,NR,2022,2027,3
Nigeria,NG,Imo,"Oru West",36652,NGA0379136652,2027,1.0237,195626,31300,54777,101726,"Endemic (under post-intervention surveillance)",0,195626,0,0,0,8,NR,NR,TAS3,2022,2027,3
Nigeria,NG,Imo,"Owerri municipal",36655,NGA0379136655,2023,1.0237,192877,30860,54006,100296,"Endemic (under post-intervention surveillance)",0,192877,0,0,0,8,NR,NR,NR,2022,2027,3
Nigeria,NG,Jigawa,Auyo,36656,NGA0379236656,2021,1.0237,190980,30557,53474,99310,"Endemic (MDA not delivered)",190980,0,0,0,4,13,"MDA 1",ALB_IVM,NR,2023,2028,26
Nigeria,NG,Jigawa,Auyo,36656,NGA0379236656,2022,1.0237,195504,31281,54741,101663,Endemic,195504,0,1,1,5,14,"MDA 1",ALB_IVM,pre-TAS,2023,2028,26
Nigeria,NG,Jigawa,Gumel,36664,NGA0379236664,2030,1.0237,191410,30626,53594,99531,"Endemic (under post-intervention surveillance)",0,191410,0,0,0,13,NR,NR,NR,2024,2029,3
Nigeria,NG,Jigawa,Guri,36665,NGA0379236665,2027,1.0237,191508,30642,53623,99585,"Endemic (under post-intervention surveillance)",0,191508,0,0,0,14,NR,NR,TAS3,2022,2027,3
Nigeria,NG,Jigawa,Guri,36665,NGA0379236665,2028,1.0237,196045,31368,54893,101944,"Endemic (under post-intervention surveillance)",0,196045,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,Jigawa,Gwiwa,36667,NGA0379236667,2024,1.0237,193261,30922,54113,100496,Endemic,193261,0,1,1,6,13,"MDA 1",ALB_IVM,TAS1,2024,2029,26
Nigeria,NG,Jigawa,Kaugama,36671,NGA0379236671,2022,1.0237,189514,30322,53064,98548,Endemic,189514,0,1,1,5,14,"MDA 4",ALBx2,pre-TAS,2023,2028,26
Nigeria,NG,Jigawa,Kaugama,36671,NGA0379236671,2023,1.0237,194004,31040,54321,100883,Endemic,194004,0,1,1,6,15,"MDA 4",ALBx2,TAS1,2023,2028,26
Nigeria,NG,Jigawa,Miga,36677,NGA0379236677,2022,1.0237,190207,30433,53257,98908,Endemic,190207,0,1,1,5,14,"MDA 4",ALBx2,pre-TAS,2023,2028,26
Nigeria,NG,Jigawa,Miga,36677,NGA0379236677,2023,1.0237,194713,31154,54519,101251,Endemic,194713,0,1,1,6,15,"MDA 4",ALBx2,TAS1,2023,2028,26
Nigeria,NG,Jigawa,Sule-Tankarkar,36680,NGA0379236680,2022,1.0237,193798,31008,54264,100775,Endemic,193798,0,1,1,5,11,"MDA 1",ALB_IVM,pre-TAS,2023,2028,26
