year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2021,NGA0377636364,,2.0,1.0,160907.0,160907.0,0.0,0.0,5.0,5.0,0.0
2022,NGA0377636364,0.16,2.0,1.0,165099.0,165099.0,0.0,0.0,5.0,5.0,0.0
2023,NGA0377636364,,2.0,1.0,169227.0,0.0,0.0,0.0,5.0,5.0,0.0
2014,NGA0377636365,,2.0,3.0,186340.0,186340.0,98466.0,52.84,1.0,1.0,1.0
2015,NGA0377636365,,2.0,2.0,191237.0,191237.0,81216.0,42.47,2.0,1.0,0.0
2016,NGA0377636365,,2.0,1.0,196018.0,196018.0,0.0,0.0,2.0,1.0,0.0
2017,NGA0377636365,,2.0,3.0,200919.0,200919.0,133409.0,66.4,3.0,2.0,1.0
2018,NGA0377636365,,2.0,3.0,205941.0,205941.0,136908.0,66.48,4.0,3.0,1.0
2019,NGA0377636365,,2.0,3.0,211090.0,211090.0,140399.0,66.51,5.0,4.0,1.0
2020,NGA0377636365,,2.0,3.0,215955.0,215955.0,173207.0,80.21,6.0,5.0,1.0
2021,NGA0377636365,,2.0,1.0,221548.0,221548.0,0.0,0.0,6.0,5.0,0.0
2022,NGA0377636365,,2.0,3.0,227321.0,227321.0,182155.0,80.13,7.0,6.0,1.0
2023,NGA0377636365,,2.0,1.0,233004.0,0.0,0.0,0.0,7.0,6.0,0.0
2014,NGA0377636366,,2.0,1.0,188984.0,188984.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377636366,,2.0,2.0,193951.0,193951.0,39839.0,20.54,1.0,0.0,0.0
2016,NGA0377636366,,2.0,1.0,198800.0,198800.0,0.0,0.0,1.0,0.0,0.0
2017,NGA0377636366,,2.0,3.0,203770.0,203770.0,158216.0,77.64,2.0,1.0,1.0
2018,NGA0377636366,,2.0,3.0,208864.0,208864.0,142332.0,68.15,3.0,2.0,1.0
